char,code_hex,storage,physical_index,note
앗,EA9C,strip_b,5297,"lookup-relative code, encode only"
빛,EA9D,strip_b,5298,"lookup-relative code, encode only"
페,EA9E,strip_b,5299,"lookup-relative code, encode only"
료,EA9F,strip_b,5300,"lookup-relative code, encode only"
견,EAA0,strip_b,5301,"lookup-relative code, encode only"
땅,EAA1,strip_b,5302,"lookup-relative code, encode only"
듣,EAA2,strip_b,5303,"lookup-relative code, encode only"
볼,EAA3,strip_b,5304,"lookup-relative code, encode only"
잊,EAA4,strip_b,5305,"lookup-relative code, encode only"
톨,EAA5,strip_b,5306,"lookup-relative code, encode only"
놓,EAA6,strip_b,5307,"lookup-relative code, encode only"
낙,EAA7,strip_b,5308,"lookup-relative code, encode only"
딘,EAA8,strip_b,5309,"lookup-relative code, encode only"
찬,EAA9,strip_b,5310,"lookup-relative code, encode only"
통,EAAA,strip_b,5311,"lookup-relative code, encode only"
빠,EAAB,strip_b,5312,"lookup-relative code, encode only"
액,EAAC,strip_b,5313,"lookup-relative code, encode only"
턴,EAAD,strip_b,5314,"lookup-relative code, encode only"
급,EAAE,strip_b,5315,"lookup-relative code, encode only"
란,EAAF,strip_b,5316,"lookup-relative code, encode only"
므,EAB0,strip_b,5317,"lookup-relative code, encode only"
혀,EAB1,strip_b,5318,"lookup-relative code, encode only"
횟,EAB2,strip_b,5319,"lookup-relative code, encode only"
낳,EAB3,strip_b,5320,"lookup-relative code, encode only"
냈,EAB4,strip_b,5321,"lookup-relative code, encode only"
쁜,EAB5,strip_b,5322,"lookup-relative code, encode only"
햣,EAB6,strip_b,5323,"lookup-relative code, encode only"
훗,EAB7,strip_b,5324,"lookup-relative code, encode only"
겸,EAB8,strip_b,5325,"lookup-relative code, encode only"
깐,EAB9,strip_b,5326,"lookup-relative code, encode only"
등,EABA,strip_b,5327,"lookup-relative code, encode only"
셈,EABB,strip_b,5328,"lookup-relative code, encode only"
쨌,EABC,strip_b,5329,"lookup-relative code, encode only"
캐,EABD,strip_b,5330,"lookup-relative code, encode only"
근,EABE,strip_b,5331,"lookup-relative code, encode only"
죄,EABF,strip_b,5332,"lookup-relative code, encode only"
칭,EAC0,strip_b,5333,"lookup-relative code, encode only"
권,EAC1,strip_b,5334,"lookup-relative code, encode only"
릭,EAC2,strip_b,5335,"lookup-relative code, encode only"
백,EAC3,strip_b,5336,"lookup-relative code, encode only"
쁘,EAC4,strip_b,5337,"lookup-relative code, encode only"
슷,EAC5,strip_b,5338,"lookup-relative code, encode only"
재,EAC6,strip_b,5339,"lookup-relative code, encode only"
쩌,EAC7,strip_b,5340,"lookup-relative code, encode only"
착,EAC8,strip_b,5341,"lookup-relative code, encode only"
철,EAC9,strip_b,5342,"lookup-relative code, encode only"
청,EACA,strip_b,5343,"lookup-relative code, encode only"
콜,E2B1,font_page,1671,physical code
