file,offset,capacity,mode,dynamic_e2,marker_types,text,payload_length,overflow,source
1/S1023.DAT,0x47952,47,preserve_current,0,E503|E503,어머니: 아버지의 편지를 읽을래?|읽지 않는다|읽는다,,,アークの母 父さんの置き手紙があるけどよむかい？ / ベつにいい / よむ
1/S1023.DAT,0x47AB0,55,preserve_current,0,E503|E503|E503|E503,|강해지는 법|작전 세우기|피해 감소 1|다음,,, / 強くなるためには / 作戦をたてるには / 敵からダメージを受けないためには1 / 次のージ
1/S1023.DAT,0x47B30,40,preserve_current,0,E503|E503|E503,|피해 감소 2|전투 요령|그만 읽기,,, / 敵からダメージを受けないためには2 / うまく戦うには / よむのやめる
21/S2041.DAT,0x47EFE,48,preserve_current,0,E503|E503|E503,|지역을 열까요?|연다|열지 않는다,,, / エリアをオーンしますか？ / オーンする / オーンしない
21/S2041.DAT,0x48160,44,preserve_current,0,E504|E504|E504,|물론이야|자신이 없어|전투를 더 배울래,,, / もちろん！ / ちょつと自信がないな・・ / まだ戦い方がわからないや
21/S2041.DAT,0x48488,45,preserve_current,0,E504|E504|E504,|강해지는 법|전투 요령|그만,,, / どうすれば強くなれるの？ / 何か戦いのニツはあるの？ / やつっり、いいや
21/S2042.DAT,0x47FF0,53,vertical_inline,0,E503|E503,초핀: 더 도와드릴까요?|괜찮아|하나만 더,47,0,チョピン 何か私でお力になれるこはありますか？ / ベつにない / ちょつと教えてほしい
21/S2042.DAT,0x4811E,45,vertical_inline,0,E504|E504|E504,|강해지는 법|전투 요령|그만,34,0, / どうすれば強くなれるの？ / 何か戦いのニツはあるの？ / やつっり、いいや
21/S2045.DAT,0x4758E,28,vertical_inline,0,E503|E503|E503,|출발|그만|정보,22,0, / 出発する / 出発しない / いろいろ教えて！
21/S2045.DAT,0x47914,28,vertical_inline,0,E503|E503|E503,|출발|그만|정보,22,0, / 出発する / 出発しない / いろいろ教えて！
21/S2045.DAT,0x47C32,32,vertical_inline,0,E503|E503|E503,|출발|그만|정보 2,24,0, / 出発する / 出発しない / いろいろ教えて！ その2
21/S2045.DAT,0x47CDA,31,vertical_inline,0,E503|E503|E503,|출발|그만|유용한 정보,29,0, / 出発する / 出発しない / 耳よりな話を聞きたい！
21/S2045.DAT,0x47F1C,48,vertical_inline,0,E503|E503|E503,|아이템 정보|방향과 반격|그만,36,0, / アテム・アクセサリーの効果 / 戦闘の方向と反撃 / やつっり、いいや
21/S2045.DAT,0x4834A,37,vertical_inline,0,E503|E503|E503,|전투 요령 2|유용한 정보|그만,36,0, / バトルの心得 その2 / 耳よりな話 / やつっり、いいや
21/S2045.DAT,0x483B6,54,vertical_inline,0,E503|E503|E503|E503,|몬스터 상성|경험치|성장 조언|그만,44,0, / モンスターとの相しょう / 経験値について / 成長のアトバス / やつっり、いいや
21/S2045.DAT,0x48972,58,vertical_inline,0,E503|E503|E503|E503,|아라라토스 유적|밀마나의 이후|라마다 수행|그만,57,0, / アララトスの遺跡ダンジョン / ミルマーナのその後 / ラマダ寺での修行 / やつっり、いいや
21/S2045.DAT,0x48F18,51,vertical_inline,0,E503|E503|E503|E503,|돌 고리|연결 위치|정령수 정보|다음,45,0, / ストーンサークル / リンの位置設定 / 召喚獣について / 次のージ
21/S2045.DAT,0x48F94,42,vertical_inline,0,E503|E503|E503|E503,|포코 악기|투기장|불꽃|그만,37,0, / ポニの楽器 / 闘技場 / ートウール / やつっりいいや
21/S2045.DAT,0x49006,47,vertical_inline,0,E503|E503|E503|E503,|돌 고리|연결 위치|정령수|다음,40,0, / ストーンサークル / リンの位置設定 / 召喚獣 / 次のージ
21/S2045.DAT,0x4907E,41,vertical_inline,0,E503|E503|E503|E503,|포코 악기|투기장|불꽃|다음,37,0, / ポニの楽器 / 闘技場 / ートウール / 次のージ
21/S2045.DAT,0x490F0,56,vertical_inline,0,E503|E503|E503|E503,|라마다 수행|로망의 돌|장신구 비단|그만,49,0, / ラマダ寺の修行 / ロマンシンストーン / アクセサリーきぬのおびへ / やつっりいいや
22/S2046.DAT,0x49102,15,vertical_inline,0,E503|E503,|출발|그만,14,0, / 出発する / 出発しない
31/S3012.DAT,0x47FF0,53,preserve_current,0,E503|E503,초핀: 더 도와드릴까요?|괜찮아|하나만 더,,,チョピン 何か私でお力になれるこはありますか？ / ベつにない / ちょつと教えてほしい
31/S3012.DAT,0x4811E,45,preserve_current,0,E504|E504|E504,|강해지는 법|전투 요령|그만,,, / どうすれば強くなれるの？ / 何か戦いのニツはあるの？ / やつっり、いいや
31/S3013.DAT,0x47FF6,47,vertical_inline,0,E504|E504|E504,|물론이야|조금 더 있을래|더 알려 줘,42,0, / もちろん！ / もうちょつといたいな・・ / いろいろ教えて欲しいんだけど
31/S3013.DAT,0x48236,57,vertical_inline,0,E503|E503|E503|E503,|강해지는 법|전투 요령|다른 정보|그만,47,0, / どうすれば強くなれるの？ / 何か戦いのニツはあるの？ / 他に何かある？ / やつっり、いいや
