file,offset,capacity,prompt_slot,accept_slot,decline_slot,prompt_bytes,accept_bytes,decline_bytes,prompt,accept,decline
C1/SC011.DAT,0x46DE6,28,0,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC011.DAT,0x46E48,28,1,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC011.DAT,0x46EAA,29,2,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC011.DAT,0x46F0E,31,3,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC011.DAT,0x46F74,29,4,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC011.DAT,0x46FD8,21,5,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC011.DAT,0x47034,24,6,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC021.DAT,0x46DE6,28,0,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC021.DAT,0x46E48,28,1,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC021.DAT,0x46EAA,29,2,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC021.DAT,0x46F0E,31,3,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC021.DAT,0x46F74,29,4,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC021.DAT,0x46FD8,21,5,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC021.DAT,0x47034,24,6,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC031.DAT,0x46DE6,28,0,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC031.DAT,0x46E48,28,1,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC031.DAT,0x46EAA,29,2,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC031.DAT,0x46F0E,31,3,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
C1/SC031.DAT,0x46F74,29,4,8,9,17,6,8,전투를 시작할까?,싸운다,돌아간다
