state,header,base,limit,count,x,y,D,E,F,line_extra,source_pointer,visible,framebuffer_ratio,expected_ink,text
1,0x801F031C,0x801EFC9C,32,14,212,120,14,16,2,0,0x8019B61F,1,1.000000,702,불러올 데이터를 선택 세요
1,0x801F9D44,0x801BE9BC,128,49,112,96,14,16,2,0,0x00000000,0,0.620614,2280,앙튼다그다다다째서어째스메리아 / <780>튼 그다다다 서 여스메리아 / <781>튼 하다다다 서 째스메리아 / 처음부터
2,0x801F031C,0x801EFC9C,32,1,144,122,14,16,2,0,0x8019BE93,0,0.000000,68,집
2,0x801F9D44,0x801BE9BC,64,19,52,52,14,16,2,0,0x801168D5,1,0.982167,729,<781>머니: 지치면 언제든 돌아오렴. /
2,0x801F9D88,0x801BF6BC,64,0,46,166,14,16,2,0,0x00000000,0,0.000000,0,
3,0x801F031C,0x801EFC9C,32,1,144,122,14,16,2,0,0x8019BE93,0,0.000000,68,집
3,0x801F9D44,0x801BE9BC,64,51,116,100,14,16,2,0,0x80116981,1,0.990152,1320,<781>머니: 아버지가 남긴 편지 볼래 / ? /                      / 다다괜찮아   / 다다광초않
3,0x801F9D88,0x801BF6BC,64,0,46,166,14,16,2,0,0x00000000,0,0.000000,0,
4,0x801F031C,0x801EFC9C,32,1,144,122,14,16,2,0,0x8019BE93,0,0.000000,68,집
4,0x801F9D44,0x801BE9BC,64,39,74,68,14,16,2,0,0x80116CDC,1,0.957188,1565,숲이나 동굴 같은 곳에서는 뜻밖의 /  곳에서 적이 나와 당 는 일이 있 / 념.
4,0x801F9D88,0x801BF6BC,64,0,46,166,14,16,2,0,0x00000000,0,0.000000,0,
5,0x801F031C,0x801EFC9C,32,1,144,122,14,16,2,0,0x8019BE93,0,0.000000,68,집
5,0x801F9D44,0x801BE9BC,64,35,238,52,14,16,2,0,0x80116D34,1,0.990960,1438,"자신의 턴일 때 페R 버튼을 동시에 /  눌러 프리 커서로 만들<781>서,"
5,0x801F9D88,0x801BF6BC,64,0,46,166,14,16,2,0,0x00000000,0,0.000000,0,
6,0x801F031C,0x801EFC9C,32,1,144,122,14,16,2,0,0x8019BE7E,0,0.000000,66,원
6,0x801F0E18,0x801F0798,32,19,194,122,14,16,2,0,0x00000000,0,0.000000,643,저장 시겠습니까? / 예      아니요
6,0x801F9D44,0x801BE9BC,64,24,190,68,14,16,2,0,0x80115E02,1,0.840637,1004,싸우게 된념. 괜찮나? / 다다예  / 다다<782>만둔념
6,0x801F9D88,0x801BF6BC,64,0,94,166,14,16,2,0,0x00000000,0,0.000000,0,
7,0x801F031C,0x801EFC9C,32,4,86,116,14,16,2,0,0x8019AE75,0,0.091398,186,독 회복
7,0x801F0E18,0x801F0798,32,0,0,0,14,16,2,0,0x00000000,0,0.000000,0,
7,0x801F1DB4,0x801F1A74,16,5,134,109,14,16,2,0,0x8019B06E,0,0.552124,259,성수다째그
7,0x801F9D44,0x801BE9BC,128,14,150,79,14,16,2,0,0x80115E02,0,0.000000,556,다그하8다그하 / 다 것8다 것
7,0x801F9D88,0x801BF6BC,64,0,94,166,14,16,2,0,0x00000000,0,0.000000,0,
8,0x801F031C,0x801EFC9C,32,11,226,109,14,16,2,0,0x8019B863,1,1.000000,567,용암으로 적에게 피해
8,0x801F0E18,0x801F0798,32,12,170,214,14,16,2,0,0x8019B711,1,0.790625,640,념음 대상을 선택합니념
8,0x801F1DB4,0x801F1A74,16,6,274,41,14,16,2,0,0x8019ADF0,0,0.612500,320,번 <782>라운<840>
8,0x801F9D44,0x801BE9BC,128,15,234,137,14,16,2,0,0x80115E02,0,0.346535,707, 변 념또체째하째 것8째 것
8,0x801F9D88,0x801BF6BC,64,0,94,166,14,16,2,0,0x00000000,0,0.000000,0,
