id,group,index,historical_korean,pointer_offset,original_pointer,current_pointer,japanese,current_korean,unknown_codes,original_hex,current_hex,storage_class,empty_original,empty_current,review_status
card_label:1,card_label,1,,0x78088,0x80192878,0x80192878,カート1,카드 1,,BC 31 95 12,DD 38 17 A1 4A,text,False,False,PENDING
card_label:2,card_label,2,,0x7808C,0x80192880,0x80192880,カート2,카드 2,,BC 31 95 13,DD 38 17 A1 0B,text,False,False,PENDING
ui_pointer:780E8,ui_system_v39,,처음부터,0x780E8,0x8019289C,0x8019AF3E,はじめから,처음부터,,28 4A 51 20 33,DD 8F 8D 6C 02,text,False,False,PENDING
ui_pointer:780EC,ui_system_v39,,저장 데이터가 없습니다,0x780EC,0x801928A4,0x8019C712,セーフされていません,저장 데이터가 없습니다,,DD 60 31 C9 3A 32 21 1B 27 59 2D,DD 24 56 A1 81 03 02 0C A1 71 2D 07 01,text,False,False,PENDING
ui_pointer:780F0,ui_system_v39,,메모리 카드에 남은 공간이 없습니다,0x780F0,0x801928B0,0x8019B472,カートにあきがありません,메모리 카드에 남은 공간이 없습니다,,BC 31 95 23 3F 44 2A 3F 39 27 59 2D,DD 2C 55 2E A1 DD 38 17 0E A1 DD 3D 26 A1 DD 10 DD 1B 03 A1 71 2D 07 01,text,False,False,PENDING
ui_pointer:780F4,ui_system_v39,,그대로 계속하기,0x780F4,0x801928C0,0x8019AB9D,このままつづける,그대로 계속하기,,2E 1C 27 27 45 DD F9 49 22,15 37 D5 A1 DD 11 DD 5F 19 24,text,False,False,PENDING
ui_pointer:780F8,ui_system_v39,,데이터가 손상되었습니다,0x780F8,0x801928CC,0x8019C7DE,データがこわれています,데이터가 손상되었습니다,,81 31 62 2A 2E 43 32 21 1B 27 2B,81 03 02 0C A1 85 8B 73 61 2D 07 01,text,False,False,PENDING
ui_pointer:781B8,ui_system_v39,,불러올 데이터를 선택하세요,0x781B8,0x80192900,0x8019B60E,データをえらんでください,불러올 데이터를 선택하세요,,81 31 62 2F 46 33 2D 30 3E 35 3A 1B,DD 13 20 99 A1 81 03 02 36 A1 DD 53 DF 9A 19 8C 2C,text,False,False,PENDING
ui_pointer:781BC,ui_system_v39,,메모리 카드 없이 계속하시겠습니까?,0x781BC,0x80192910,0x8019C514,メモリーカートをつかわすにゲームをつづけますか？,메모리 카드 없이 계속하시겠습니까?,,78 5F 6B 31 BC 31 95 2F 45 20 43 8C 23 DD 4D 31 D8 2F 45 DD F9 49 27 2B 20 3C,DD 2C 55 2E A1 DD 38 17 A1 71 03 A1 DD 11 DD 5F 19 29 54 2D 07 3B D1,text,False,False,PENDING
ui_pointer:781C0,ui_system_v39,,메모리 카드를 넣고 확인 버튼을 누르세요,0x781C0,0x8019292C,0x8019B3D2,メモリーカートをセットして<CTRL:E7>！<N:卞:16>タンをおしてください,메모리 카드를 넣고 확인 버튼을 누르세요,,78 5F 6B 31 BC 31 95 2F DD 60 82 5C 1E 21 E7 02 DD A1 62 34 2F 3B 1E 21 3E 35 3A 1B,DD 2C 55 2E A1 DD 38 17 36 A1 6F 1C A1 DE 2B 35 A1 67 DD F7 0D A1 DD 55 70 8C 2C,text,False,False,PENDING
