state,order,address,cache_slot,owner_source,owner_char,pixels,shape_match,blank_plane
slot1,528,0x801BF2AC,12,6,나,29,1,0
slot1,529,0x801BF278,11,37,마,41,1,0
slot1,530,0x801BF244,10,26,르,38,1,0
slot1,531,0x801BF210,9,50,미,39,1,0
slot1,532,0x801BEF38,0,52,메,48,1,0
slot1,533,0x801BEC2C,0,52,메,48,1,0
slot1,595,0x801EFF0C,17,36,세,39,1,0
slot1,596,0x801EFED8,4,29,하,37,1,0
slot1,597,0x801EFEA4,16,214,택,40,1,0
slot1,598,0x801EFE70,15,106,선,31,1,0
slot1,599,0x801EFE08,2,11,를,54,1,0
slot1,600,0x801EFDA0,14,39,이,35,1,0
slot1,601,0x801EFC9C,13,137,불,57,1,0
slot2,651,0x801BEB5C,15,30,물,55,1,0
slot2,652,0x801BE9F0,22,101,산,0,0,1
slot3,587,0x801F0B20,7,0,니,27,1,0
slot3,588,0x801F08E4,7,0,니,27,1,0
slot3,589,0x801F0848,20,8,시,26,1,0
slot3,590,0x801F0814,4,29,하,37,1,0
slot3,591,0x801F07E0,0,33,장,39,1,0
slot3,592,0x801F07AC,23,43,저,35,1,0
slot7,691,0x801F0814,17,10,정,0,0,1
slot7,692,0x801F07E0,16,68,결,0,0,1
slot7,693,0x801F07AC,7,185,잎,40,1,0
slot7,707,0x801F1AF0,19,4,그,26,1,0
slot7,708,0x801F1A88,18,73,번,40,1,0
slot8,691,0x801F09E8,6,21,다,34,1,0
slot8,692,0x801F09B4,9,0,니,27,1,0
slot8,693,0x801F094C,19,214,택,40,1,0
slot8,694,0x801F0918,18,106,선,31,1,0
slot8,695,0x801F08B0,17,38,을,50,1,0
slot8,696,0x801F087C,8,32,상,33,1,0
slot8,697,0x801F0848,7,20,대,40,1,0
slot8,698,0x801F07AC,6,21,다,34,1,0
slot8,710,0x801F1B58,8,32,상,33,1,0
slot8,711,0x801F1AF0,7,20,대,40,1,0
slot8,712,0x801F1A88,6,21,다,34,1,0
slot8,733,0x801EFEEC,3,17,해,43,1,0
slot8,734,0x801EFEB8,2,64,피,39,1,0
slot8,735,0x801EFDE8,11,35,변,0,0,1
slot8,736,0x801EFD4C,10,40,로,0,0,1
slot8,737,0x801EFCE4,9,0,니,27,1,0
