source file,offset,japanese,korean,review_note
D/SD014.DAT,0x4794C,"ここから先は俺達しか入れない。ククル、行こう。","여기서부터는 우리만 들어갈 수 있어. 쿠쿠루, 가자.",아크·쿠쿠루 장면의 기존 구어체를 따름
D/SD014.DAT,0x479BE,"みんな、待つてて。","다들, 기다려 줘.",구어체 유지
D/SD014.DAT,0x479FC,"心配だなっ・・。","걱정이네...",말줄임표 유지
D/SD014.DAT,0x47A3C,"何かあつたら\nみんな助けに来てくれるでしょ？","무슨 일이라도 생기면 다들 도와주러 와 줄 거잖아?",질문의 구어체 유지
D/SD014.DAT,0x47AD2,"行つてくる。","다녀올게.",구어체 유지
D/SD015.DAT,0x4791C,"封印の炎が消えた！","봉인의 불꽃이 꺼졌어!",기존 봉인의 불꽃 표기를 따름
D/SD015.DAT,0x4795C,"奴等が心配だぜ。","그 녀석들이 걱정돼.",남성 구어체 유지
D/SD015.DAT,0x4799C,"急いで助けに行かなくつちゃ！","서둘러 구하러 가야 해!",의무·긴박함 보존
D/SD015.DAT,0x47A9C,"承知。","알겠습니다.",동일 원문의 기존 번역을 따름
D/SD021.DAT,0x479AC,"封印を解きにいくぞ。","봉인을 풀러 가자!",구어체 유지
D/SD021.DAT,0x479EE,"自分の生まれた村に入るのに\nこんな話になるなんてね。","내가 태어난 마을에 들어가는데 이런 일이 벌어질 줄이야.",1인칭 화자의 놀라움 보존
D/SD021.DAT,0x47A40,"もう僕たちだけのもんだいじゃ\nなくなつてると思うんだ。","이제 우리들만의 문제가 아니게 된 것 같아.",僕의 부드러운 구어체 유지
D/SD021.DAT,0x47AA0,"お前がそんなこ言うように\nなるたっな。","네가 그런 말을 하게 될 줄이야.",원문의 구어적 축약을 뜻 그대로 옮김
D/SD021.DAT,0x47AF6,"デへへ・・。","데헤헤...",웃음소리를 보존
D/SD021.DAT,0x47B42,"避けて通れぬ道もある。","피해 갈 수 없는 길도 있다.",의미를 축약하지 않음
D/SD021.DAT,0x47E0A,"もうここに戻つても何もないなっ・・。","이제 여기로 돌아와도 아무것도 없겠네...",말줄임표 유지
D/SD071.DAT,0x48620,"くそ、山にも\nモンスターがあふれてる。","젠장, 산에도 몬스터가 넘쳐나고 있어.",몬스터 기존 표기·구어체 유지
D/SD071.DAT,0x48668,"モンスターは\n精霊力の強い所に集まるのよ。","몬스터는 정령력이 강한 곳에 모이는 거야.",정령력 기존 표기를 따름
D/SD071.DAT,0x487CA,"二人とも大丈夫？","둘 다 괜찮아?",구어체 유지
