source file,offset,japanese,korean,review_note
B/SB021.DAT,0x47AB0,"聖柩 \nしかし、そのためにはおまえ達人聞が\nおのれをたち切る強さを\n持たねばならない。","성궤: 하지만 그러기 위해서는 너희 인간이 자기 자신을 끊어 낼 수 있는 강함을 지녀야 한다.",성궤·인간 기존 표기를 따름
B/SB021.DAT,0x47B14,"聖柩 \nさっ、我が試練を受けるがいい。おのれ達自身の暗分身と戦うのだ。","성궤: 자, 나의 시련을 받아라. 너희 자신들의 어둠의 분신과 싸우는 것이다.",시련과 분신의 의미를 보존
B/SB022.DAT,0x478D8,"アーク、おまえたちの気持ちは\n確かに受け取つた。","아크, 너희들의 마음은 분명히 받았다.",직접 호칭 유지
B/SB022.DAT,0x47990,"天の声 \n全てを愛しいつくしむ心。\nそして全てを守る力だ。","하늘의 목소리: 모든 것을 사랑하고 아끼는 마음. 그리고 모든 것을 지키는 힘이다.",격식 있는 선언문 유지
B/SB022.DAT,0x47A74,"天の声 \nそして全ての愛する心を持つた\n人聞たちなのだ。","하늘의 목소리: 그리고 모든 것을 사랑하는 마음을 지닌 인간들이다.",인간 기존 표기를 따름
B/SB022.DAT,0x47AC0,"天の声 \nさあ自らが持つベき力を手にするがよい。","하늘의 목소리: 자, 스스로가 가져야 할 힘을 손에 넣어라.",명령형·격식 유지
B/SB022.DAT,0x47B48,"天の声 \nおまえ達の未来は自らの欲望にしばられ\nおのれを見失つている人聞達と","하늘의 목소리: 너희들의 미래는 자신의 욕망에 사로잡혀 자신을 잃어버린 인간들과",다음 행으로 이어지는 원문 단편을 보존
B/SB022.DAT,0x47B82,"天の声 \nそこにつけ込むモンスター達によつて\n滅亡にむけて進んでいる。","하늘의 목소리: 그 틈을 파고드는 몬스터들 때문에 멸망을 향해 나아가고 있다.",앞 행과 이어지는 의미를 보존
B/SB022.DAT,0x47BBA,"天の声 \nこのままではモンスターと共に\n人聞もこの世界から消え去るであろう。","하늘의 목소리: 이대로라면 몬스터와 함께 인간도 이 세상에서 사라지게 될 것이다.",격식 있는 예언문 유지
B/SB022.DAT,0x47D9E,"水の精霊 \nあんた達を見てて人聞を少し見直したよ\nがんばんなさいよ。","물의 정령: 너희들을 보고 인간을 조금 다시 보게 됐어. 힘내렴.",물의 정령 기존 구어체를 따름
B/SB022.DAT,0x47DDE,"風の精霊 \nさて、これからが本当の正ねん場じゃ。\nわしらも全面的に手をかす。\n存分に暴れてこい。","바람의 정령: 자, 이제부터가 진짜 고비다. 우리도 전면적으로 힘을 보태지. 마음껏 날뛰고 오너라.",바람의 정령 노인 말투를 따름
B/SB022.DAT,0x47E84,"光の精霊 \nアーク、君は僕の信じた通りの人聞だつたでも聞違つた道を進んでいる人達もいる。","빛의 정령: 아크, 너는 내가 믿었던 그대로의 인간이었어. 하지만 잘못된 길을 가고 있는 사람들도 있어.",문맥상 聞違=間違의 글리프 혼동; 원문 셀은 변경하지 않음
B/SB022.DAT,0x47EC6,"光の精霊 \nそれを正せるのは君たちしかいない。\nすばらしい未来を期待してるよ。","빛의 정령: 그것을 바로잡을 수 있는 건 너희들뿐이야. 훌륭한 미래를 기대하고 있어.",빛의 정령 기존 구어체를 따름
