source file,offset,japanese,korean,review_note
7/S7021.DAT,0x484E2,大会委員 \nああいそがしい、いそがしい。,"대회 위원: 아아, 바쁘다 바빠.",동일 화자의 기존 7/S7028 번역 문체를 따름
7/S7021.DAT,0x48DD0,大会委員 \n私の後ろに立たないで下さい。\nどうなつても知りませんよ。,대회 위원: 내 뒤에 서지 마십시오. 어떻게 되어도 책임지지 않습니다.,동일 원문의 기존 번역을 그대로 따름
7/S7021.DAT,0x49316,アナウンス \nまもなく、大会の主さい者である\nロクトール様からの\nあいさつが始まります。,안내 방송: 곧 대회 주최자이신 록토르 님의 인사말이 시작됩니다.,록토르는 기존 4/S4034 표기를 따름
7/S7021.DAT,0x4947A,アナウンス \n聞もなく参加者の受付をしめ切ります。\nお急ぎ下さい。,안내 방송: 곧 참가자 접수를 마감합니다. 서둘러 주십시오.,문맥상 聞은 間의 글리프 혼동이지만 원문 셀은 변경하지 않음
7/S7022.DAT,0x48748,大会委員 \nああひまだ、今日はどうしてこんなにひまなんだ。,"대회 위원: 아아, 한가해. 오늘은 왜 이렇게 한가한 거지?",화자의 앞선 바쁜 투덜거림과 대응
7/S7022.DAT,0x487A0,大会委員 \n仲聞に仕こをおしつけられて、大変です。,대회 위원: 동료들이 일을 떠넘겨서 힘듭니다.,문맥상 仲聞=仲間·仕こ=仕事의 글리프 혼동; 원문 셀은 변경하지 않음
7/S7022.DAT,0x488F0,出場者 \nラマダ寺で修行すると、なんとかばすたーとかいうしょうごうがもらえるらしいぞ。,출전자: 라마다사에서 수행하면 뭐시기 버스터라는 칭호를 받을 수 있는 모양이야.,라마다사·버스터는 기존 표기를 따름
7/S7022.DAT,0x48956,出場者 \n今日は調子が悪いから明日にしよう。,출전자: 오늘은 컨디션이 안 좋으니 내일 하자.,구어체 유지
7/S7022.DAT,0x48A1E,大会委員 \n早く準備をしてきて下さい。,대회 위원: 빨리 준비하고 오십시오.,동일 화자의 경어 유지
7/S7022.DAT,0x48ACC,大会委員 \n闘技場へ入つて下さい。,대회 위원: 투기장으로 들어가십시오.,기존 투기장 용어를 따름
7/S7023.DAT,0x484D6,大会委員 \nああいそがしい、いそがしい。,"대회 위원: 아아, 바쁘다 바빠.",동일 원문 번역 통일
7/S7023.DAT,0x4863A,何かおこるつて言われてもね。\n大金持ちにでもなれるのかなあ。,무슨 일이 일어날 거라고 해도 말이지. 큰부자라도 될 수 있는 걸까?,독백의 구어체 유지
7/S7023.DAT,0x486FE,出場者 \nなさけをかけていては\nやつには勝てないからな。,출전자: 봐주고 있어서는 그 녀석에게 이길 수 없으니까.,なさけをかける의 의미를 보존
7/S7023.DAT,0x48754,出場者 \n今日は調子がいいからがんばるぞ。\nおまえもがんばれよ。,출전자: 오늘은 컨디션이 좋으니 힘낼 거야. 너도 힘내.,구어체 유지
7/S7023.DAT,0x48AB6,大会委員 \n早く準備をしてきて下さい。,대회 위원: 빨리 준비하고 오십시오.,동일 원문 번역 통일
7/S7023.DAT,0x492C0,大会委員 \n闘技場へ入つて下さい。,대회 위원: 투기장으로 들어가십시오.,동일 원문 번역 통일
7/S7024.DAT,0x4876A,大会委員 \nこのあたりともなると\n残つているのはうでじまんの\n強者ばかりです。,대회 위원: 이쯤 되면 남아 있는 것은 실력에 자신 있는 강자들뿐입니다.,腕自慢의 의미를 보존
7/S7024.DAT,0x488D2,出場者 \nおれは次の大会に出ようと思つているんだが、だんだん自信がなくなつてきたぞ。\nおまえは大丈夫か？,"출전자: 다음 대회에 나가려고 했는데, 점점 자신이 없어졌어. 너는 괜찮아?",구어체 유지
7/S7024.DAT,0x48A40,出場者 \nなさけないが負けてしまつた。\nひととおり見てから帰ることにしよう。,출전자: 한심하지만 져 버렸어. 한바퀴 둘러보고 나서 돌아가기로 하자.,ひととおり의 전체 관람 의미를 보존
7/S7024.DAT,0x48B18,大会委員 \n早く準備をしてきて下さい。,대회 위원: 빨리 준비하고 오십시오.,동일 원문 번역 통일
7/S7024.DAT,0x48B66,大会委員 \n私の後ろに立たないで下さい。\nどうなつても知りませんよ。,대회 위원: 내 뒤에 서지 마십시오. 어떻게 되어도 책임지지 않습니다.,동일 원문의 기존 번역을 그대로 따름
7/S7024.DAT,0x49324,大会委員 \n闘技場へ入つて下さい。,대회 위원: 투기장으로 들어가십시오.,동일 원문 번역 통일
7/S7025.DAT,0x4875C,大会委員 \nやつと決勝戦です。\nここまできたら負けられませんね。,대회 위원: 드디어 결승전입니다. 여기까지 왔으니 질 수는 없겠군요.,화자의 경어 유지
7/S7025.DAT,0x48880,出場者 \nすつかり自信をなくしてしまつたよ。,출전자: 완전히 자신감을 잃어버렸어.,구어체 유지
7/S7025.DAT,0x4894A,出場者 \n負けてしまつた・・。\nこういうこともあるだろうな。\nまた明日からがんばればいいよな。,출전자: 져 버렸어... 이런 일도 있겠지. 내일부터 다시 힘내면 되겠지.,말줄임표와 구어체 유지
