state,header,base,limit,count,x,y,D,E,F,line_extra,source_pointer,visible,framebuffer_ratio,expected_ink,text
1,0x801F031C,0x801EFC9C,32,5,187,120,14,16,2,0,0x8019BE93,0,0.000000,215,아크의 집
1,0x801F0E18,0x801F0798,32,19,194,122,14,16,2,0,0x00000000,0,0.000000,701,저장하시겠습니까? / 예      아니요
1,0x801F9D44,0x801BE9BC,64,23,108,48,14,16,2,0,0x80116FEE,1,1.000000,889,오르카스 언덕의 스톤 서서에 남겨 / 져 있다.
1,0x801F9D88,0x801BF6BC,64,0,46,162,14,16,2,0,0x00000000,0,0.000000,0,
2,0x801F031C,0x801EFC9C,32,5,187,120,14,16,2,0,0x8019BE93,0,0.000000,215,아크의 집
2,0x801F0E18,0x801F0798,32,19,194,122,14,16,2,0,0x00000000,0,0.000000,701,저장하시겠습니까? / 예      아니요
2,0x801F9D44,0x801BE9BC,64,17,122,48,14,16,2,0,0x80117529,1,1.000000,682,좋아! 우선 전기를 손에 넣 / 자.
2,0x801F9D88,0x801BF6BC,64,0,94,162,14,16,2,0,0x00000000,0,0.000000,0,
3,0x801F031C,0x801EFC9C,32,7,220,116,14,16,2,0,0x8019AC15,0,0.000000,333,큰 폭발 피해
3,0x801F0E18,0x801F0798,32,0,0,0,14,16,2,0,0x00000000,0,0.000000,0,
3,0x801F1DB4,0x801F1A74,16,7,213,109,14,16,2,0,0x8019ADF7,0,0.000000,179,큰 폭탄 /  01
3,0x801F9D44,0x801BE9BC,128,14,118,175,14,16,2,0,0x80116ACF,0,0.000000,0, 32/ 51 /  29/ 29
3,0x801F9D88,0x801BF6BC,64,0,0,0,14,16,2,0,0x00000000,0,0.000000,0,
4,0x801F031C,0x801EFC9C,32,11,226,109,14,16,2,0,0x8019B863,0,0.000000,567,용암으로 적에게 피해
4,0x801F0E18,0x801F0798,32,5,80,214,14,16,2,0,0x8019AEAD,1,1.000000,255,대상 변경
4,0x801F1DB4,0x801F1A74,16,6,242,72,14,16,2,0,0x8019ADF0,0,0.000000,243,번 그라운드
4,0x801F9D44,0x801BE9BC,128,0,68,30,14,16,2,0,0x80116ACF,0,0.000000,0,
4,0x801F9D88,0x801BF6BC,64,0,0,0,14,16,2,0,0x00000000,0,0.000000,0,
5,0x801F031C,0x801EFC9C,32,5,187,120,14,16,2,0,0x8019BE93,0,0.000000,215,아크의 집
5,0x801F9D44,0x801BE9BC,64,31,182,48,14,16,2,0,0x80116FA2,1,1.000000,1255,앞으로 네 여행에 도움이 될 옛 전 / 기는 토우빌 안쪽의
5,0x801F9D88,0x801BF6BC,64,0,46,162,14,16,2,0,0x00000000,0,0.000000,0,
6,0x801F031C,0x801EFC9C,32,7,201,120,14,16,2,0,0x8019D131,0,0.000000,283,오르카스 언덕
6,0x801F0E18,0x801F0798,32,19,194,122,14,16,2,0,0x00000000,0,0.000000,701,저장하시겠습니까? / 예      아니요
6,0x801F9D44,0x801BE9BC,64,0,0,0,14,16,2,0,0x8011757A,0,0.000000,0,
6,0x801F9D88,0x801BF6BC,64,0,0,0,14,16,2,0,0x00000000,0,0.000000,0,
7,0x801F031C,0x801EFC9C,32,7,201,120,14,16,2,0,0x8019D131,0,0.000000,283,오르카스 언덕
7,0x801F0E18,0x801F0798,32,19,194,122,14,16,2,0,0x00000000,0,0.000000,701,저장하시겠습니까? / 예      아니요
7,0x801F9D44,0x801BE9BC,64,30,176,48,14,16,2,0,0x80116AC9,1,0.944869,1179,"돌에 잠든 기억을 아는 자여, 그  / 힘으로 내 뜻에 응답"
7,0x801F9D88,0x801BF6BC,64,0,46,162,14,16,2,0,0x00000000,0,0.000000,0,
