file,extension,size,is_analysis,is_game_candidate,in_patch_zip,patch_size,patch_equals_work
1/S1011.DAT,.DAT,305152,0,1,1,305152,0
1/S1011.IMG,.IMG,196608,0,1,0,,
1/S1012.DAT,.DAT,305152,0,1,0,,
1/S1012.IMG,.IMG,323584,0,1,0,,
1/S1013.DAT,.DAT,305152,0,1,1,305152,0
1/S1013.IMG,.IMG,323584,0,1,0,,
1/S1021.DAT,.DAT,305152,0,1,1,305152,0
1/S1021.IMG,.IMG,323584,0,1,0,,
1/S1022.DAT,.DAT,305152,0,1,1,305152,0
1/S1022.IMG,.IMG,323584,0,1,0,,
1/S1023.DAT,.DAT,305152,0,1,1,305152,0
1/S1023.IMG,.IMG,196608,0,1,0,,
1/S1031.DAT,.DAT,305152,0,1,1,305152,0
1/S1031.IMG,.IMG,196608,0,1,0,,
1/S1032.DAT,.DAT,305152,0,1,0,,
1/S1032.IMG,.IMG,323584,0,1,0,,
1/S1041.DAT,.DAT,305152,0,1,1,305152,0
1/S1041.IMG,.IMG,323584,0,1,0,,
1/S1051.DAT,.DAT,305152,0,1,1,305152,1
1/S1051.IMG,.IMG,323584,0,1,0,,
1/S1061.DAT,.DAT,305152,0,1,1,305152,0
1/S1061.IMG,.IMG,196608,0,1,0,,
1/S1071.DAT,.DAT,305152,0,1,1,305152,0
1/S1071.IMG,.IMG,323584,0,1,0,,
1/S1072.DAT,.DAT,305152,0,1,1,305152,0
1/S1072.IMG,.IMG,196608,0,1,0,,
21/S2011.DAT,.DAT,305152,0,1,1,305152,0
21/S2011.IMG,.IMG,323584,0,1,0,,
21/S2012.DAT,.DAT,305152,0,1,1,305152,0
21/S2012.IMG,.IMG,323584,0,1,0,,
21/S2013.DAT,.DAT,305152,0,1,0,,
21/S2013.IMG,.IMG,323584,0,1,0,,
21/S2014.DAT,.DAT,305152,0,1,0,,
21/S2014.IMG,.IMG,323584,0,1,0,,
21/S2021.DAT,.DAT,305152,0,1,1,305152,0
21/S2021.IMG,.IMG,323584,0,1,0,,
21/S2022.DAT,.DAT,305152,0,1,0,,
21/S2022.IMG,.IMG,323584,0,1,0,,
21/S2031.DAT,.DAT,305152,0,1,1,305152,0
21/S2031.IMG,.IMG,323584,0,1,0,,
21/S2032.DAT,.DAT,305152,0,1,0,,
21/S2032.IMG,.IMG,323584,0,1,0,,
21/S2033.DAT,.DAT,305152,0,1,1,305152,0
21/S2033.IMG,.IMG,196608,0,1,0,,
21/S2034.DAT,.DAT,305152,0,1,0,,
21/S2034.IMG,.IMG,323584,0,1,0,,
21/S2041.DAT,.DAT,305152,0,1,1,305152,0
21/S2041.IMG,.IMG,323584,0,1,0,,
21/S2042.DAT,.DAT,305152,0,1,0,,
21/S2042.IMG,.IMG,323584,0,1,0,,
21/S2043.DAT,.DAT,305152,0,1,0,,
21/S2043.IMG,.IMG,323584,0,1,0,,
21/S2044.DAT,.DAT,305152,0,1,0,,
21/S2044.IMG,.IMG,323584,0,1,0,,
21/S2045.DAT,.DAT,305152,0,1,0,,
