source_id,char,kind,old_physical_index,old_source_id
0,니,existing_restored_static_conflict,68,
1,에,existing_restored_static_conflict,69,
2,의,existing_restored_static_conflict,76,
3,어,existing_restored_static_conflict,77,
4,그,existing_restored_static_conflict,78,
5,고,existing_restored_static_conflict,80,
6,나,existing_restored_static_conflict,81,
7,있,existing_restored_static_conflict,82,
8,시,existing_restored_static_conflict,92,
9,도,existing_restored_static_conflict,93,
10,정,existing_restored_static_conflict,94,
11,를,existing_restored_static_conflict,100,
12,게,existing_restored_static_conflict,101,
13,여,existing_restored_static_conflict,102,
14,만,existing_restored_static_conflict,103,
15,핀,existing_restored_static_conflict,112,
16,지,existing_restored_static_conflict,113,
17,해,existing_restored_static_conflict,115,
18,오,existing_restored_static_conflict,116,
19,수,existing_restored_static_conflict,117,
20,대,existing_restored_static_conflict,118,
21,다,existing_restored_static_conflict,119,
22,령,existing_restored_static_conflict,128,
23,전,existing_restored_static_conflict,129,
24,인,existing_restored_static_conflict,130,
25,는,existing_restored_static_conflict,131,
26,르,existing_restored_static_conflict,152,
27,경,existing_restored_static_conflict,153,
28,군,existing_restored_static_conflict,154,
29,하,existing_restored_static_conflict,168,
30,물,existing_restored_static_conflict,169,
31,몬,existing_restored_static_conflict,170,
32,상,existing_restored_static_conflict,204,
33,장,existing_restored_static_conflict,205,
34,토,existing_restored_static_conflict,208,
35,변,existing_restored_static_conflict,209,
36,세,existing_restored_static_conflict,210,
37,마,existing_restored_static_conflict,211,
38,을,existing_restored_static_conflict,212,
39,이,existing_restored_static_conflict,534,
40,로,existing_restored_static_conflict,586,
41,성,existing_restored_static_conflict,664,
42,용,existing_restored_static_conflict,666,
43,저,existing_restored_static_conflict,784,
44,매,existing_restored_static_conflict,785,
45,막,existing_restored_static_conflict,786,
46,림,existing_restored_static_conflict,787,
47,런,existing_restored_static_conflict,840,
48,방,existing_restored_static_conflict,841,
49,력,existing_restored_static_conflict,842,
50,미,existing_restored_static_conflict,843,
51,님,existing_restored_static_conflict,844,
52,메,existing_restored_static_conflict,845,
53,행,existing_restored_static_conflict,847,
54,동,existing_restored_static_conflict,848,
55,언,existing_restored_static_conflict,849,
56,명,existing_restored_static_conflict,850,
57,단,existing_restored_static_conflict,851,
58,문,existing_restored_static_conflict,852,
59,머,existing_restored_static_conflict,853,
60,뀌,existing_restored_static_conflict,854,
61,금,existing_restored_static_conflict,855,
62,규,existing_restored_static_conflict,856,
63,혼,existing_restored_static_conflict,858,
64,피,existing_restored_static_conflict,859,
65,투,existing_restored_static_conflict,860,
66,잇,existing_restored_static_conflict,861,
67,괜,existing_restored_static_conflict,862,
68,결,existing_restored_static_conflict,863,
69,법,ui_asset_displaced_static,864,
70,킬,ui_asset_displaced_static,865,
71,꺼,ui_asset_displaced_static,866,
72,풀,ui_asset_displaced_static,867,
73,팔,ui_asset_displaced_static,868,
74,천,ui_asset_displaced_static,869,
75,째,ui_asset_displaced_static,870,
76,앞,ui_asset_displaced_static,871,
77,알,ui_asset_displaced_static,872,
78,쓸,ui_asset_displaced_static,873,
79,싫,ui_asset_displaced_static,874,
80,새,ui_asset_displaced_static,875,
81,봉,existing_restored_static_conflict,876,
82,롭,existing_restored_static_conflict,877,
83,렌,existing_restored_static_conflict,878,
84,둔,existing_restored_static_conflict,879,
85,번,existing_restored_static_conflict,880,
86,날,existing_restored_static_conflict,881,
87,꽃,existing_restored_static_conflict,882,
88,껐,existing_restored_static_conflict,883,
89,흥,ui_asset_displaced_static,885,
90,헤,ui_asset_displaced_static,886,
91,플,ui_asset_displaced_static,887,
92,프,existing_restored_static_conflict,888,
93,파,existing_restored_static_conflict,889,
94,텅,existing_restored_static_conflict,890,
95,털,existing_restored_static_conflict,891,
96,코,existing_restored_static_conflict,892,
97,최,existing_restored_static_conflict,893,
98,쭐,existing_restored_static_conflict,894,
99,쪽,existing_restored_static_conflict,895,
100,질,existing_restored_static_conflict,896,
101,줬,existing_restored_static_conflict,897,
102,중,existing_restored_static_conflict,898,
103,줄,existing_restored_static_conflict,899,
104,좀,existing_restored_static_conflict,900,
105,젠,existing_restored_static_conflict,901,
106,잘,existing_restored_static_conflict,902,
107,워,existing_restored_static_conflict,903,
108,왔,existing_restored_static_conflict,904,
109,엘,existing_restored_static_conflict,905,
110,약,existing_restored_static_conflict,906,
111,루,existing_restored_static_conflict,907,
112,써,existing_restored_static_conflict,908,
113,떻,existing_restored_static_conflict,909,
114,식,existing_restored_static_conflict,910,
115,슬,existing_restored_static_conflict,911,
116,산,existing_restored_static_conflict,912,
117,송,existing_restored_static_conflict,913,
118,섞,existing_restored_static_conflict,914,
119,벌,existing_restored_static_conflict,915,
120,혜,ui_asset_displaced_static,916,
121,뱀,ui_asset_displaced_static,917,
122,배,ui_asset_displaced_static,918,
123,민,ui_asset_displaced_static,919,
124,며,ui_asset_displaced_static,920,
125,멘,ui_asset_displaced_static,921,
126,멋,ui_asset_displaced_static,922,
127,먼,ui_asset_displaced_static,923,
128,렇,existing_restored_static_conflict,925,
129,선,existing_restored_static_conflict,926,
130,참,existing_restored_static_conflict,927,
131,노,existing_restored_static_conflict,932,
132,험,existing_restored_static_conflict,933,
133,본,existing_restored_static_conflict,934,
134,키,existing_restored_static_conflict,935,
135,늘,existing_restored_static_conflict,944,
136,년,existing_restored_static_conflict,945,
137,온,existing_restored_static_conflict,946,
138,폭,ui_asset_displaced_static,952,
139,속,ui_asset_displaced_static,953,
140,놀,ui_asset_displaced_static,954,
141,히,ui_asset_displaced_static,957,
142,희,ui_asset_displaced_static,958,
143,했,existing_restored_static_conflict,960,
144,레,existing_restored_static_conflict,961,
145,카,existing_restored_static_conflict,962,
146,친,existing_restored_static_conflict,963,
147,작,existing_restored_static_conflict,964,
148,첩,existing_restored_static_conflict,965,
